School,Program,Web,Program Contacts,EDI Page,Social Justice Statement,Seminar Link,Test Requirements,PhD Deadline,Fee Waivers,Demographic Information,Program Diversity Statement,Application Diversity Statement Required,Application Diversity Statement Description
University of Colorado Anschutz,Computational Bioscience Program,https://www.cuanschutz.edu/graduate-programs/computational-bioscience,"caitlin.moloney@cuanschutz.edu,larry.hunter@cuanschutz.edu",,,https://www.cuanschutz.edu/graduate-programs/computational-bioscience/events,TOEFL / IELTS,12/1/20,,,,,
University of Delaware,Bioinformatics Data Science,https://bioinformatics.udel.edu/education/binf-phd/,wuc@dbi.udel.edu,,,https://bioinformatics.udel.edu/seminar/,GRE / TOEFL / IELTS,2/15/21,,,,,
University of Georgia,Bioinformatics,https://iob.uga.edu/masters-phd/,travisg@uga.edu,,,https://calendar.uga.edu/group/institute_of_bioinformatics,,12/1/20,,,,,
University of Idaho,Bioinformatics and Computational Biology,https://www.uidaho.edu/sci/bcb,dtank@uidaho.edu,,,,GRE / TOEFL,1/6/21,,,,,
University of Iowa,Computational Genetics,https://genetics.grad.uiowa.edu/about-our-program/computational-genetics,grad-genetics@uiowa.edu,https://www.grad.uiowa.edu/diversity,Homepage,https://genetics.grad.uiowa.edu/news-and-events,TOEFL,12/1/20,"Fee waivers available by application, and interviewed candidates have fees reimbursed",,,,
University of Kansas,Computational Biology,https://compbio.ku.edu/phd-program-1,slusky@ku.edu,,,,TOEFL / IELTS,12/4/20,,,,,
University of Louisville,Bioinformatics,http://bioinformatics.louisville.edu/,bioinf@louisville.edu,,,,,1/15/21,"Currently serving on Active-Duty, in the National Guard, or in the Reserves in; the U.S. Army, the U.S. Navy, the U.S. Air Force, the U.S. Marine Corps or the U.S. Coast Guard",,,,
University of Michigan,Bioinformatics,https://medicine.umich.edu/dept/dcmb/education,"margit@umich.edu,sartorma@umich.edu",,,https://medicine.umich.edu/dept/dcmb/events/ccmb-seminar-series,TOEFL,12/1/20,,,,,
University of Minnesota,Bioinformatics and Computational Biology,https://r.umn.edu/academics-research/graduate/bicb,"chadm@umn.edu,shamx002@umn.edu",,,,GRE (or related work) / TOEFL,2/15/21,,,,,
University of Missouri,MUIDSI,https://muidsi.missouri.edu/,ShyuC@missouri.eduÃÂ,,,https://muidsi.missouri.edu/announcements/events/,GRE / GMAT / TOEFL / IELTS,,,,,,
University of Nebraska - Lincoln,CS (Bioinformatics),https://cse.unl.edu/phd-computer-science-bioinformatics-specialization,,,,,,,,,,,
University of Nebraska - Omaha,Biomedical Informatics and Bioinformatics,https://www.unomaha.edu/college-of-information-science-and-technology/academics/bioinformatics.php,dkbastola@unomaha.edu,,,,GRE / MAT / TOEFL / iBT / IELTS / PTE,7/1/21,,,,,
University of Pennsylvania,GCB,https://www.med.upenn.edu/gcb/,bvoight@pennmedicine.upenn.edu,,,https://www.med.upenn.edu/gcb/seminar-series.html,TOEFL / IELTS,12/1/20,U.S. citizens and permanent residents may request a waiver in cases of documented financial hardship,,,,
University of Pittsburgh,CPCB,http://www.cbd.cmu.edu/education/phd-in-computational-biology/,"bahar@pitt.edu,murphy@cmu.edu",,,http://www.compbio.cmu.edu/news-and-events/seminar-series-2020-2021/,TOEFL / IELTS (non-native English speakers),12/12/20,,,,,
University of Southern California,Computational Biology and Bioinformatics,https://dornsife.usc.edu/qcb/phd-program/,tozzi@usc.edu,,,https://dornsife.usc.edu/qcb/calendar/,GRE dropped for 2020 admissions due to covid-19,12/1/20,,,,,
University of Tennessee,Genome Science & Technology,https://gst.tennessee.edu/,vonarnim@utk.edu,,,,GRE / TOEFL / IELTS,1/15/21,Fee waivers upon request,,,,
University of Washington,Genome Sciences,https://www.gs.washington.edu/academics/gradprogram/index.htm,bgiebel@uw.edu,https://www.gs.washington.edu/about/dei/index.htm,Homepage,https://www.gs.washington.edu/news/seminar.htm,"TOEFL (US, Australia, Bahamas, Canada, Ireland, New Zealand, Singapore, Trinidad and Tobago, and UK degrees exempt)",12/1/20,"Need-based, not eligible if studying on F or J visa",,,,
University of Wisconsin-Madison,Biomedical Data Science,https://biostat.wisc.edu/education/phd-bds/,maxted@biostat.wisc.edu and bbierman@wisc.edu,,,,,,,,,,
University of Wisconsin-Madison,Computation and Informatics in Biology and Medicine,http://www.cibm.wisc.edu/index.html,craven@biostat.wisc.edu,,,http://www.cibm.wisc.edu/seminar/,,,"U.S. citizens, permanent resident applicants and students with DACA status under certain criteria",,,,
VCU,Bioinformatics and Genome Sciences,http://bulletin.vcu.edu/graduate/vcu-life-sciences/integrative-life-sciences-phd-concentration-bioinformatics-genome-sciences/#degreerequirementstext,ssfong@vcu.edu,,,,,,,,,,
Virginia Tech University,"Genetics, Bioinformatics, and Computational Biology",https://gbcb.graduateschool.vt.edu/,lwli@vt.edu,,,https://gbcb.graduateschool.vt.edu/seminars.html,GRE / TOEFL / IELTS,1/15/20,,,,,
Worcester Polytechnic Institute,Bioinformatics and Computational Biology,https://www.wpi.edu/academics/study/bioinformatics-computational-biology-phd,,,,,GRE / TOEFL / IELTS,1/1/21,,,,,
WUSTL,Computational and Systems Biology,http://www.dbbs.wustl.edu/divprograms/compbio/Pages/default.aspx,"dantas@WUSTL.EDU,twang@WUSTL.EDU",,,,TOEFL / IELTS,12/1/20,Fee waivers available,,,,
Yale University,Computational Biology and Bioinformatics,https://cbb.yale.edu/,"lisa.sobel@yale.edu, hongyu.zhao@yale.edu, mark.gerstein@yale.edu",,,,TOEFL (exempt if degree is from institution where English is primary language of instruction),12/1/20,"US and international students, need-based or program participation",,,,
